years,porcentaje_mujeres_victimas_almenos_delito
2010,21.54783602558620000000
2011,22.98226080969030000000
2012,25.37069817894340000000
2013,26.43208386726060000000
2014,27.12964344582080000000
2015,26.46710025522690000000
2016,27.60915427646430000000
2017,28.27952835181820000000
2018,27.04461045771370000000
2019,23.47118998043540000000
2020,22.12892050449630000000
2021,23.30910026283050000000
