years,victimas_robo_vehiculo_nacional
2011,63423.12700000000000000000
2013,45870.37717000000000000000
2015,57571.67023881000000000000
2017,63119.63691118110000000000
2019,61077.00700003620000000000
2021,41420.66980000000000000000
