years,porcentaje_hombres_victimas_almenos_delito
2010,26.68209727633870000000
2011,25.86785706324680000000
2012,29.56035328986470000000
2013,30.28479522616810000000
2014,29.43038235221160000000
2015,30.18065696681140000000
2016,30.12419888684630000000
2017,31.41939960937870000000
2019,26.44038068169810000000
2020,25.12050942963510000000
2021,25.25341872935410000000
