years,victimas_robo_asalto_bienesdinero_nacional
2011,515673.53830000000000000000
2013,406978.09022000000000000000
2015,497603.05351485000000000000
2017,488265.36804464100000000000
2019,460803.46534104900000000000
2021,346578.61820000000000000000
